,data,precision,recall,f1,accuracy
0,dt-fetus-untuned,0.9014151693432978,0.907585004359198,0.9044475775442193,0.9342723004694836
1,dt-fetus-optimal,0.9453726788970342,0.8864671122735639,0.9118164567879938,0.9436619718309859
2,dt-wine-untuned,0.7565326896841222,0.7717207528183887,0.7634745671272241,0.826530612244898
3,dt-wine-optimal,0.732561053398943,0.7388917165405924,0.7355979056745601,0.8091836734693878
4,ada-fetus-untuned,0.8675465097789792,0.8731957764215829,0.8703217123814406,0.9107981220657277
5,ada-fetus-optimal,0.8883461921353908,0.9030804998546934,0.8953988483259538,0.9272300469483568
6,ada-wine-untuned,0.7658198857108529,0.707098185817669,0.727911154662747,0.826530612244898
7,ada-wine-optimal,0.750216915034381,0.769939332245175,0.7589257224145662,0.8214285714285714
8,knn-fetus-untuned,0.8875404260994233,0.8753269398430689,0.8812202722650484,0.92018779342723
9,knn-fetus-optimal,0.906670252824099,0.8905841325196164,0.8982799647594503,0.931924882629108
10,knn-wine-untuned,0.7772352825800667,0.7315378720068331,0.7494660791552539,0.8357142857142857
11,knn-wine-optimal,0.7711846276523329,0.7447215543113888,0.7562278891509434,0.8346938775510204
12,svm-fetus-untuned,0.9009500850822462,0.8652039135910103,0.8813420552859252,0.9225352112676056
13,svm-fetus-optimal,0.9255681618602691,0.8912137944396008,0.9069055944055944,0.9389671361502347
14,svm-wine-untuned,0.7920295680914735,0.6530032586248252,0.6803944845219614,0.8214285714285714
15,svm-wine-optimal,0.7743668023518769,0.7271325856632208,0.7454224976134355,0.8336734693877551
16,nn-fetus-untuned,0.9189299155731869,0.898963479608641,0.9084325396825397,0.9389671361502347
17,nn-fetus-optimal,0.9292538915727322,0.8873389518550809,0.906113315023904,0.9389671361502347
18,nn-wine-untuned,0.7854382362168792,0.734193914503513,0.753886611246099,0.8397959183673469
19,nn-wine-optimal,0.8235510991434647,0.7875107499517349,0.8030303030303031,0.8673469387755102